,node,cluster,location,description,followers,name,created_at,likes,statuses_count
119,JksTeefies,1,None,︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎@BTS_twt & @TXT_members— she/her,866,Koodles⁷✜ | ARSD📌,22-May-2020 (07:22:02.000000),5451,3232
120,damnposa,1,campania  italia ,@paintvante is the taehyung to my jungkook♡ bangtan: ₁₃₁₀₁₈•₀₇₀₆₁₉•₀₈₀₆₁₉*✧･ [fan account],3869,𝐜𝐡𝐢𝐚💫⁷ | ARSD📌,29-Jun-2012 (19:04:19.000000),54249,58724
121,DannyHozack,0,Lloydminster,Husband  father  grandfather. Queen Scout.  Dartmouth 1974. Love people and politics. Chairman EEA. Past Chairman ABP  http://www.freedomtalk.ca,9401,Danny Hozack,21-Apr-2011 (16:57:01.000000),11337,69645
122,hr130130,1,iran,None,17126,hossain rezaei,11-Aug-2014 (16:29:28.000000),525275,585545
123,bubblychimmmy,1,None,''If you don't work hard  there won't be a good result'',325,J⁷♡ //life goes on!!!,18-Aug-2019 (06:46:41.000000),4785,3175
124,Starsarelinking,1,None,Digital Warrior Lightworker Truthseeker,525,STARDUST,06-Sep-2020 (13:16:26.000000),4386,6199
125,alimkakeng,0,North Carolina  USA,pronounced like it’s spelled  Arial 11  Prof. EM 🚑 ♥️  🧬research; ✝️  lover of IPAs and Pitt. sports  tweets=just my opinion  man.,1635,Alex Limkakeng (wear a mask!),22-Jun-2017 (02:27:12.000000),58310,15082
126,untoldhoshi,1,None,probably thinking about lee chan laughing  ☆ #SEVENTEEN  she/her,358,Bia⨟ ⁷ ✜,04-Dec-2019 (20:05:16.000000),16687,5772
127,AnneMannone,0,None,None,129,Anne Mannone,06-May-2014 (15:01:13.000000),27880,23554
128,YrumpT,0,None,Despise Trump all all his Republican enablers.  Can't wait to see him in handcuffs.,273,Dipsh*t_Yrump,22-Apr-2020 (18:57:35.000000),2540,2949
129,neomiu_,1,None,𝔣𝔞𝔫 𝔞𝔠𝔠 𝔣𝔬𝔯 -----☞ @BTS_twt @ITZYofficial @TXT_members @ENHYPEN_members,1696,ᴮᴱ𝒄𝒌𝒂⁷✜ᴱᴺ⁻⁷,12-Jun-2020 (13:55:17.000000),8332,6628
130,proDankMemer,0,None,I am a bot and I am designed to post the best memes at a single place. Follow for your daily dose of memes.,389,the_DANK_MEME_bot,13-Jul-2018 (13:36:09.000000),3,72152
131,F0RY00BI,1,있지? 있지!,⠀⠀⠀⠀ – 𝖿𝗈𝗋 𝗄𝗂𝗆 𝗌𝖾𝗈𝗄𝗃𝗂𝗇 & 𝗆𝗂𝗇 𝗒𝗈𝗈𝗇𝗀𝗂,1474,may⁷ ★ arsd 📌,14-Oct-2019 (00:51:11.000000),43145,40461
132,highcleregin,0,None,A Super Premium London Dry Gin. Must be of legal drinking age to follow.,83369,Highclere Castle Gin,06-Dec-2011 (01:51:37.000000),102558,11442
133,BluesignV,1,Universe is in me,🙋🏻‍♂️#Reading #psychology  #classical_music  #art  #communicate_people  Not a young man  #still_smiling  married. All photos ARE NOT MINE. porn=block.,36794,Blue sign,05-Jun-2013 (20:36:02.000000),389602,180650
134,softprkjm_,1,Kiara’s soulmate ,#JIMIN: Silence is golden  don’t waste time • The genre is bts | yoonmin | namkook,804,ᴮᴱ Ariana⁷₁₃,24-Jan-2013 (17:18:56.000000),78403,74097
135,vminkook_clau,1,None,Book lover📑📖❤BTS💜Army,66,Clau⁷💜 mimi day📌,26-Feb-2018 (00:46:00.000000),30164,1132
136,minniewings,1,None,، ଘ 𝗽𝗮𝗿𝗸 & 𝗷𝗲𝗼𝗻 ❏ 상호 사랑. ♡ @vminggk,20491,ғlorѕι⁷,12-Nov-2013 (12:06:30.000000),81590,98666
137,Maaaaaaaaaay7,1,México ,.,220,- Jk🌙,22-Jun-2017 (20:35:57.000000),27669,10489
138,distinfo_gnr,0,None,None,573,Info Gandhinagar GoG,31-May-2017 (08:25:46.000000),10491,9355
139,kimchifry,1,she/her,𝔎𝔦𝔪 𝔑𝔞𝔪𝔧𝔬𝔬𝔫||𝔎𝔦𝔪 𝔖𝔢𝔬𝔨𝔧𝔦𝔫||𝔐𝔦𝔫 𝔜𝔬𝔬𝔫𝔤𝔦||𝔍𝔲𝔫𝔤 ℌ𝔬𝔰𝔢𝔬𝔨||𝔓𝔞𝔯𝔨 𝔍𝔦𝔪𝔦𝔫||𝔎𝔦𝔪 𝔗𝔞𝔢𝔥𝔶𝔲𝔫𝔤||𝔍𝔢𝔬𝔫 𝔍𝔲𝔫𝔤𝔨𝔬𝔬𝔨,442,ᴮᴱSunshine⁷||⟬⟭💜⟭⟬||𖧵||नमजून बेस्ट लीडर|| Limit,18-Mar-2019 (11:01:20.000000),5131,1472
140,A_Fellow_Weeb,0,Chicago  IL,19. Sophomore at DePaul University. Self-taught 3D artist trying to improve.Current Project: N/ADon't use my art without permission.,76,Brandon Ehrman,06-May-2015 (00:40:16.000000),9300,739
141,filsminie,1,None,𓏲 𝗯𝘁𝘀 🍂 ະ 𝗴𝗮𝗿𝗱𝗲𝗻 𓂅 𝘁𝘅𝘁   ⌕: 𝗲𝗹𝗹𝗲✦⠁,511,𝙣𝙖𝙣𝙞 ✜⁷,12-May-2020 (17:44:31.000000),84315,11360
142,Sundari46949432,0,None,None,15,Sundari,29-Sep-2020 (10:44:09.000000),3914,2620
143,xabvante,1,Jkk,⠀ ⠀ ⠀ ⠀ ⠀윤기⠀ ❍ ⠀ 𝟵𝟯’ ˒ 단일 ଘ - 𝘄𝗲 𝗮𝗿𝗲 𝗳𝗼𝗿𝗲𝘃𝗲𝗿 𝙗𝙪𝙡𝙡𝙚𝙩𝙥𝙧𝙤𝙤𝙛. ♡@amalovesjimin ʙғғ:@bxngtanglow,597,ᴀʙʀɪʟᴮᴱ,10-Jul-2020 (18:39:58.000000),15928,23419
144,esrakrlmaz,0,None,Medical student,26,Esra,16-Sep-2020 (13:11:54.000000),1081,1091
145,imdwanderer,0,Tennessee,Retired Fire Captain/Paramedic I'm a fighter for Truth  Justice  and Equality for all and putting two spaces after a period!,311,Kevin Johnson,27-Mar-2013 (01:16:58.000000),40380,25716
146,umichmedicine,0,Ann Arbor,Creating the future of health care through scientific discovery and innovations in education while providing the most effective and compassionate care.,36687,Michigan Medicine,16-Jul-2008 (17:58:43.000000),6161,20484
147,KarenBarryDavi1,1,North East  England,Loves Life  music  animals  fashion  beauty design and business owner. No DM or porn please,22423,Karen Barry-Davies,20-Feb-2017 (15:33:08.000000),190772,99164
148,blackstembot,0,BLACK LIVES MATTER,🤖#Python #AI Bot @sayhitojustin1’s kid. Teaching him #Japanese & more. Auto-Tweets⚙️ The Boston Tea Party Was Not A Peaceful Protest.,153,ハーフ_man✊🏾🏝😷 ハーフ_machine🤖⚙️🗡,30-Jul-2020 (17:20:30.000000),11839,35553
149,maliniagarwal,0,Mumbai  India,If you use spaces before commas we can't be friends. Founder and Optimist Prime - @MissMalini Entertainment,10263,Malini Agarwal,04-Feb-2016 (04:39:59.000000),2043,3296
150,abrock6215,0,San Marcos  CA,I teach Photoshop and basic computer functions on Mac or PC. Contact me at abrock6215@yahoo.com,75,Alan Brock,04-Mar-2009 (17:48:10.000000),651,1277
151,movingbackfrom,0,Connecticut  USA,The Earth is facing devastating assaults that we must turn back from if we are to have a future. #environment #oceans #pollution #extinction #vegan #plasticfree,3098,Moving Back From Midnight 🌏🌲🌿🌱🐠🐾🐄🐖♻️Ⓥ,24-Apr-2017 (16:13:02.000000),40698,11845
152,Stefanodibiagi1,1,None,medico chirurgo spec. in Odontostomatologia. medico olistico per la prevenzione. La vita è troppo breve per perdere tempo a lamentarsi e arrabbiarsi,1658,@Stefanodibiagi0,12-Jul-2017 (12:04:18.000000),156964,165999
153,creepy_court,1,Southern Indiana ,my soul is an island....my car is a ford.✌here’s my thoughts and opinions ⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️,119,CreepyCrawlyCourt,03-Sep-2012 (02:05:23.000000),455,1339
154,InfamouSinphony,0,San Diego,Author of everything  INFAMOUS SINPHONY,1056,INFAMOUS SINPHONY,23-Jan-2010 (06:25:24.000000),736,19406
155,2020djt2020,1,South East United States,🇺🇸 #TRUMP2020 🇺🇸 | 🇺🇸 #MAGA 🇺🇸 | 🇺🇸 #KAG2020 🇺🇸 | #VETERAN | #2A | #ΜΟΛΩΝΛΑΒΕ | #WWG1WGA | #ISRAEL |#BACON | http://vote.donaldjtrump.com |,6772,Thomas *ugly chump*,17-Aug-2020 (12:39:16.000000),4703,15846
156,NotAJMendezNJ,0,Shadow Moses,N. Y. T.  BestSelling Author of #CrazyIsMySuperpower & The strong 3X #WWE #DivasChampion #GeekGoddess is here. (IamNot:@TheAJMendez!!) #TeamAJ #ParodyAccount,1109,The O.G. #GoddessOfWWE & The #QueenOfMindGames,31-Jul-2018 (10:19:05.000000),835,1280
157,bombaclartt,0,London  England,None,41,ت,25-Apr-2020 (21:45:23.000000),3603,903
158,javeddar786,0,Srinagar  India,Chief Photographer at Xinhua News Agency  New Delhi Bureau,3701,Javed Dar جاوید ڈار,09-Feb-2011 (12:41:11.000000),1274,979
159,reneayj4,1,Chicago  IL,None,3426,Cleo 😷,30-Mar-2016 (05:23:44.000000),77068,96603
160,chemistrykaren,0,cambridge,Biologist; tech ed (Br J Dermatol); carer; Patient & Public Involvement; patient-doc comms; antiplastic,290,Karen Alexander,25-Mar-2009 (20:48:49.000000),19161,9806
161,CeciliaRossana,1,None,🍁🐿️🍂🧡🍁,426,Cecilia Rossana 🎃,23-Sep-2011 (05:30:50.000000),8955,7344
162,JiyaKum14312379,0,None,None,34,Jiya Kumari,25-Feb-2020 (08:40:33.000000),12731,12794
163,Linda39125805,0,Sunny Florida,I'm still alive :-),1523,Linda,28-Jan-2020 (01:11:20.000000),76656,95817
164,KuberappaN,1,KRISHNARAJPURAM  560016,SIPF KJM,7,B.N. Kuberappa,15-Nov-2019 (08:27:36.000000),322,321
165,blaxicologist,0,Michigan  USA,Black lady #toxicologist & dual #PhD candidate @umich.  Funded by: @NIOSH T42 | @NIH @NIEHS T32. #BLM #BlackinCancer #AcademicTwitter #ScienceTwitter,362,CA... PhDs loading...🔬📊💻📈,02-May-2018 (17:24:53.000000),2493,613
166,JNimalachandra,0,Sri Lanka,Views are personal. Retweets and links are not endorsements.,3463,Janaka Nimalachandra,21-Jan-2016 (06:24:06.000000),15842,2437
167,ds13_manon,0,None,None,8050,Manon des Sources,25-Mar-2011 (21:40:16.000000),246114,249565
168,RatraVaibhav,0,None,Journalist,42,Vaibhav Ratra,25-Feb-2013 (05:50:53.000000),427,470
169,Adenoughofit,0,Land of the blind,For we wrestle not against flesh and blood  but against principalities  against powers  against the rulers of the darkness of this world.,1732,Onepercent,24-May-2012 (09:54:29.000000),4514,18450
170,AcctbleHealth,1,Jacksonville  FL,Population Health consulting & helping companies reopen safely during COVID-19  with the Safely Back to Work Plan https://safehealthywork.thinkific.com/,58,Accountable Health,29-Nov-2012 (00:55:45.000000),33,477
171,Plannedemic,0,None,Take no part in the unfruitful works of darkness  but instead expose them.♏🌱,28252,𝐏𝖑𝖆𝖓𝖓𝖊𝖉𝖊𝖒𝖎𝖈👁️⃤,10-May-2016 (18:10:43.000000),14716,16448
172,VeganJase,0,Ilkeston born and bred ,Dad  t'other half  all things Liverpool  beard grower and Guinness drinker. The truth is out there. Instagram: @veganjase,1842,Jason.,06-Apr-2011 (10:24:15.000000),39048,56968
173,10thNdrf,0,आंध्र प्रदेश  भारत,Saving Lives & Beyond,138,10th NDRF A.P,13-Nov-2019 (12:43:51.000000),194,222
174,aawdc,0,Millersville  MD,Providing innovative  high quality workforce development services to Anne Arundel County businesses and citizens.,1040,AAWDC,02-Sep-2010 (01:37:48.000000),182,1590
175,YesAbergele,0,Abergele  Republic of Cymru ,None,634,YesAbergele #FBIW,10-Oct-2020 (18:21:47.000000),966,1270
176,Sloan_SM,0,Orland  California  USA,“Repent  for the reign of the heavens has come near!” Matthew 3:2,460,Steven Sloan,20-Mar-2012 (22:49:33.000000),1511,86095
177,texasyoga1,0,None,None,5,texas_yoga,02-Jul-2020 (14:33:41.000000),10,223
178,mariate84187033,0,None,🇵🇭🇺🇸I only support the Truth 💞☝️👌🙌🙏,1835,Maria,23-Mar-2020 (03:40:51.000000),2508,6630
179,karag,0,iPhone: 42.363846 -83.469330,Science/medical writer & media relations pro @umichmedicine & @UM_IHPI. My stories @MHealthLab http://labblog.uofmhealth.org/author/kara-gavin kegavin@umich.edu,2083,Kara Gavin,02-Feb-2009 (15:58:36.000000),5713,8311
180,valeri_torr,1,En algún lugar ,♡ ▪︎▪︎▪︎♡💗NO DM ♡🗝💌,38191,💗VALE ツ♡ •••💗ℒove♡,18-Mar-2017 (23:51:06.000000),340386,737964
181,HCashny,0,A Free Country (still),Conservatarian: Democrat half mugged by reality  then libertarian fully mugged by reality. Live and let live.,583,Hudson,09-Apr-2011 (22:02:02.000000),16874,70911
182,PearlsStarz,0,None,None,1041,Tinamarie,04-Sep-2009 (10:39:17.000000),15831,36512
183,trev_sher,1,St. Albert  Alberta,For the love of the game and my son....🏒🏒🏒,52,Trev,27-Jun-2017 (21:45:54.000000),1539,1026
184,thecharliefoxt1,1,None,game over. you lose,2,the charlie foxtrot,23-Sep-2020 (19:12:14.000000),614,1070
185,SLNewsRTBot,1,Sri Lanka,I am automatically #Retweet these tags #COVID19SL #COVID19LK #adaderanasinhala #SLNews #SLCOVID19 #infodprtsl #NewsSLCreate by @619Sniper619,9,Sri Lankan News Retweet Bot,24-Oct-2020 (14:01:06.000000),3471,10623
186,myworld2121,1,Toscana -DM just close friends,Skydivinglover ( Ex Ten. Parà Folgore ). Animallover. Account dedicated to a real man with a great heart: my GBF Köksal Akin @newworlddd555.,133746,Stefano S. Magi,15-Mar-2015 (19:08:15.000000),44221,71737
187,sadia_trust,1,BTS (G)I-DLE & BLACKPINK,•𝗔𝗥𝗠𝗬•𝗡𝗘𝗩𝗘𝗥𝗟𝗔𝗡𝗗•𝗕𝗟𝗜𝗡𝗞•🍩@BTS_twt @G_I_DLE & @BLACKPINK✨𝙶𝚒𝚛𝚕𝙶𝚛𝚘𝚞𝚙𝚜🌸 𝕄𝕦𝕝𝕥𝕚🍬『HN🇭🇳』  Esp/Eng 🎤,497,𝐒𝐚𝐧𝐝𝐢𝐚🍉⁷•,07-Apr-2020 (22:52:11.000000),20506,16010
188,writerpeter,0,St. Louis MO,Writer. architect and marketing consultant,366,Peter H. Green,13-Nov-2007 (19:14:29.000000),40,1144
189,mmfnigeria,0,Lagos Nigeria,The Murtala Muhammed Foundation (MMF) is a Non-Profit organization  committed to the well being of the underprivileged and reduction of poverty and conflicts.,2313,Murtala Muhammed Foundation,07-Dec-2009 (09:49:54.000000),1705,8479
190,PR0MISEMIN,1,None,#NI_KI: Can’t we just leave the monster alive? // fan account // she/her ✧ bi,582,trang ✜ ᵉⁿ⁻⁷⁺⁴⁽²ˣ⁾,18-Jul-2019 (20:17:41.000000),74120,15086
191,ujHlMoDlVv3EfE8,1,None,修行やってます。いつの日か世界を救うと信じてーーー,474,藤四郎,24-Jul-2015 (07:40:33.000000),5684,313191
192,rajmnish347,0,None,None,5,rajmnish347@gmail.com,20-Jun-2020 (05:46:48.000000),43,52
193,RAUSHAN91154923,0,None,जय हिन्द,10,RAUSHAN SINGH,24-Apr-2020 (04:07:33.000000),102,49
194,Amber02150,1,     BOSTON (MA)🇺🇸,🍃Most of the pics aren't mine🍂No DM🍁NO PORN⛔️,55943,Heather💝,01-Apr-2016 (12:16:12.000000),149595,206436
195,JRinPueblo,1,Colorado  USA,100% 'Merican - Retired Vet  Special Forces Medic (Green Beret) 18D  Masters in Education. If I hurt your feelings  you deserved it.  SAVE The Republic! #MAGA,37520,JRinTheUSA The CHUMP‏🚂 🔴 🐘 🐘,07-Mar-2017 (13:19:30.000000),131464,149840
196,icravelogic,1,None,Too logical to be liberal🇺🇸Freedom of Speech🇺🇸Law and Order🇺🇸,4743,DJ Belle,01-Jun-2020 (00:54:57.000000),19713,10518
197,GurjarMukeshKu2,0,None,gurjar,0,Gurjar Mukesh Kumar,30-Oct-2020 (00:19:55.000000),0,1
198,gnomik612,1,Россия Москва,Я понял  что возникли проблемы  поэтому решил остановить машину. Возможно  я обнаружил проблему раньше команды  но не сержусь на парней. (с) Михаэль Шумахер,961,gnoma,29-Jun-2011 (16:59:32.000000),1931,209081
199,JeremyBonham,1,Los Angeles  CA,🇺🇸 2020 Presidential Candidate,1437,Jeremy Bonham,03-May-2009 (04:19:30.000000),17173,588
200,SamPark40354229,0,Los Angeles,Screenwriter/Producer/Comic Book Editor  Writer  Artist. Worked w John Cassaday  Bela Lugosi  Jr. & at Ramones' I WANNA BE SEDATED. - I've been around.,98,Cinema Sam Park,14-Aug-2020 (18:26:16.000000),9857,10280
201,MirkoCiminiello,0,Roma (Italy),Journalist/Writer/Scriptwriter. The Romanovs' Falconer  Timeless  Astragon saga  Il Raggio Spezzato  Il Falconiere  I Pilastri della Comunicazione (on Amazon),16854,Mirko Ciminiello,07-Jul-2012 (17:42:35.000000),838,10952
202,claudiociminiel,0,None,Former Sports Doctor AS Roma Soccer  Former Talent Scout FC Milan Soccer.,1428,claudio ciminiello,23-Jun-2012 (19:46:37.000000),3206,4043
203,JPitcher18,0,Midwest USa,NSFW(🔞): MWM - Mostly #blonde and #Interracial.  Stuff I've found  some I've edited.  DM if owner and want it removed.#blondeintoblack #interracialcuckold,413,J Pitch: What I like:🔞♠🧚🏼🧖🏼🧏🏼‍💃🏼👙♠🔞,27-Apr-2020 (04:21:34.000000),13,861
204,BcgAffiliate,0,San Bern,Hi! I'm @blakcirclegirl! This is for my #affiliate work with POD shops like #Zazzle & #Society6 to promote my & others #artwork!,80,BCGAffiliate,02-Mar-2018 (08:12:01.000000),5679,3828
205,blakcirclegirl,0,Nowhere  CA,My #art & #photography are available on: #RedBubble #Zazzle #ArtsAdd #DeviantArt #society6 & #CafePress below under BCGPhotography & BlakCircleGirl,1652,The Blak Circle Girl,04-Apr-2009 (06:58:40.000000),81994,83369
206,jamesjgriffin,0,San Diego,Writer. Itinerant Philosopher. #Freelancer,1540,James J. Griffin,06-Jun-2009 (16:58:56.000000),4384,10841
207,aslanerdo5,1,None,None,4473,Erdoğan  YILDIRIM,03-Jan-2016 (11:28:26.000000),20118,38690
208,HelenAnn16,1,Virginia  USA,to be more of what I am and better at who I will be,1983,Helen Ann,05-Dec-2015 (13:48:46.000000),29605,146416
209,Hilarieivy,1,Steveston BC ,None,301,Hilarie McMurray,01-Mar-2009 (21:15:22.000000),28322,11514
210,lfc71,0,GTA  Canada,part-time science educator  full-time mom,14,tricia,24-Mar-2009 (19:30:15.000000),2945,163
211,KTMurad,0,Rawalpindi  Pakistan,#What_elevates_Pakistan_jubilates_me💞🇵🇰. A life long learner. FCA. Cricket. Strongly believe that Imran Khan is the game changer for #Pakistan!,273,K T Murad,08-May-2013 (08:07:23.000000),12072,8395
212,LoyaltyPower7,0,Frederick  MD,Co-founder at Loyalty Power 7. I am a musician  a chef  restaurant owner and an entrepreneur. You can check out my music on Spotify under my name  Patrick Maggi,14037,Patrick Maggi,23-Sep-2015 (04:38:10.000000),563,22677
213,RoroAter,0,Chicago,Co-founder at Loyalty Power 7. I`m a dreamer and I believe everything happens for a reason.,12339,Roro Ater,26-Mar-2012 (10:41:04.000000),132,19171
214,RoseSmi5h,0,Denver  CO,Bags Beaches  Blogging  Shopping  Travel  These are some of the things I interest most. But more importantly  I am a lover of life and I seize the day!,11667,Rose Smith,22-Aug-2017 (11:46:10.000000),70,18007
215,SonArose3rdday,1,None,#TRUMP2020 #BACKTHEBLUE #SAVEOURCHILDREN #PATRIOT #MAGA  GO GAMECOCKS!!!!  #GOD'S PLAN PRESIDENT TRUMP IS HIS VESSEL... Live in SC...RetiredNurse...Christian!.,2491,Leta WWG1WGA..IFBP! #VOTE IN PERSON TRUMP CHUMP,23-Mar-2020 (01:18:33.000000),12611,26873
216,h3l1um,0,Canada,HVAC installer by day  iOS breaker by nite. Islay #scotch for the win,75,H3l1um,22-Mar-2014 (07:36:52.000000),209,288
217,woodyinthewild,0,None,Mother. Outdoor lover. Camper. Nurse. Plant based thriver. 🌱,46,Campfire,08-May-2020 (22:44:27.000000),183,678
218,yescymruruthin,0,Ruthin  Wales,Rhuthun / Ruthin  Sir Ddinbych / Denbighshire Ymgyrch dros Ryddid Cymru. Welsh independence campaign. I bob un: #Annibyniaeth!#indyWales @YesCymru,1922,@YesCymruRhuthun,14-Apr-2019 (09:08:01.000000),26515,14656
219,NellieBryan17,0,Lexington Ky.,Preschool Teacher  Country Music Lover,19,Nellie Bryan,23-Jul-2017 (18:30:36.000000),28,3325
220,KaraMar111,1,Mission Viejo  CA,TruMp20/20 Vets LEOsQ 2A Military 🤬U R NOT taking OUR GUNS🇺🇲🚫SHaRiA/IsLAM IlLegal=ILlegal (Its ok to be WHITE) 🤗❤🦈VoterId  http://RecallGavin2020.com,44986,TheStormyBotK🍿🥓⭐⭐⭐UGLYCULT45CHUMP!,23-May-2017 (03:14:16.000000),127242,271897
221,pazdios7,1,Costa Rica,#Naturaleza  #Paisajes  #Flores  #Animales  #Madre  #Esposa  #Hija,24366,MA®️IA,13-Mar-2016 (01:17:55.000000),1458,5662
222,KellyRotheram,0,None,None,42,Kelly Rotheram,10-Sep-2011 (15:55:14.000000),6255,1559
223,LuxeDessinsCo,0,California  USA,Handmade face mask from locally sourced fabric. California. Etsy shop below:,10,Luxe Dessins Co,25-Aug-2020 (21:38:43.000000),20,167
224,mirrorart4u,0,Tibet,Be soulful  be kind  be in love. Be soul fully in love  because love is all there is. ~Rumi,242,Mala Moon,01-Apr-2013 (21:05:46.000000),6242,4265
